Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Rio_Grande_Crossing,Honduras,76231.77796141602,75593.31360478155,76489.33994119093,76358.32590260211,76454.3480609224,76424.5785216424,76210.82962367497,76470.05972430218,76901.60949522197,76033.95794611551,76511.52794399383,76400.50985557395,77243.88757526425,76720.45070667462,76358.92010496548,76426.74852745196,77260.33137035127,76375.97037073429,76761.14910855216,76644.42580443314,76828.28797469138,76723.02126067376,76504.9611398398,76691.60206402268,76818.62440732321,76484.97366226702,76381.95949295913,76829.6740416932,77525.81473033794,77201.35879893281,77040.3508350906,76879.0751507706,76544.63047602157,75841.01772587733,76919.6386598821,76886.7857192372,76335.28435918238,76574.38003353146,76974.25570240615,76836.37324880085,76824.79023852957,76258.40731260573,76564.50696032794,76536.26988998984,76923.12880459943,76837.99651685996,76714.74637212716,77171.76651539971,77000.09589114883,76401.08799389671,77087.3230248631,77194.61713847253,76208.27310029765,76722.85314629569,77065.12275374183,76439.93364010967,76882.98615983389,77061.98320278875,76902.57233007265,76840.14089250195,77214.23230984298,76764.70475660545,76396.46267947028,76819.91621387194,76655.07707767509,76095.44255413978,76573.67723734226,77024.81676184396,76799.90668947477,76899.81541059334,76546.88879113598,77416.82622857143,76920.32757909219,76992.36567529847,76842.29732408331,76927.74913940107,77005.06779123822,77132.58864853194
SSP245,Rio_Grande_Crossing,Honduras,65734.2631777465,66360.88919831486,72531.55723101833,76435.7767363912,77470.71247454357,77089.94186996135,77657.75784890229,71490.85466522227,78738.5866031579,85173.96444960374,88461.38940850265,82748.16368880495,81597.69242951764,78771.458115948,78167.46785885935,77099.7184163665,75683.37406778811,75405.35947000534,82617.02986593213,86127.41597165994,77908.49472012125,78133.2736650425,81128.19944986959,77455.1005368663,76554.73352054357,76063.71024451489,75666.3952765738,81000.40968410413,76419.43883178117,75652.7192507171,65982.28862011239,72556.74252104404,67899.64174670231,68225.49641151936,73434.00631263187,84664.66447638394,80806.60475114163,68644.43789528008,75779.2028521557,80178.58998274698,68678.8439254352,72160.40664812367,72090.10136219827,78525.73771432163,73770.40478253653,69427.90541769142,72283.88440087148,80078.09734100578,65603.72645289924,69081.54084326423,80743.25722421895,76712.12794790188,75534.64284531756,74927.80902577667,65164.962615471886,81819.97466268462,73142.85209780767,72385.1802154555,76216.63037261697,65209.07912523243,70203.67557822789,79958.78333490809,72399.43931946678,74568.43946473631,91862.6067995253,75596.14530226913,76317.12589511875,86117.0843868422,74096.3201365637,72287.4349167277,78701.22753910374,69978.22021647365,71470.19399241562,79995.33173563262,71401.44799890507,76996.94089920928,79247.49958572458,81870.6942063315
SSP370,Rio_Grande_Crossing,Honduras,36846.06988973764,118009.24694582632,114822.5484211904,71393.90089852063,59698.17169898304,87872.02036408089,104818.6907466641,102019.45220019508,125315.83179382142,113813.02425239746,143109.37519082124,89726.4012193372,83183.51250829906,134874.40351998984,169043.91243137978,113054.34052610854,94966.86890510123,112323.63253300446,133121.19165547696,104396.623359873,73289.09536544565,116511.37225072256,143547.62979772553,92707.12616976166,136921.49459857817,152252.58081628807,116254.11156756053,152107.64333259608,137759.5107776521,85756.62721518794,163012.33236350506,122558.34280951544,68280.81589817457,131861.1777002616,202842.0789740659,169665.22369707882,141192.85466403695,137619.2350485472,154471.60015132642,130618.57316674896,164690.0045871427,178777.87777337685,175148.21387731787,131304.62312351,91696.14776387904,167401.4741122156,160385.44234021724,94432.38290180762,125352.9402021157,166959.63292251874,188754.1335743496,193830.19422249807,167363.56376906208,153201.34733716067,185586.0614673429,190929.9491101348,187440.3959154992,192315.4515958363,215650.6310760108,181873.4553321559,164995.24684189446,164817.69507398122,208259.29909571656,168097.38646546335,181586.5558467696,218194.52985023867,203268.71009558009,235742.34063243456,182815.80421520275,179871.06609417827,190968.6535796509,212245.28352352863,182358.33529342417,197054.6122562236,205450.7576407918,215460.87052829404,226008.2540670233,224244.75693646047
SSP585,Rio_Grande_Crossing,Honduras,70386.33353588454,70109.2292591628,79296.77390009857,76092.08928724707,75788.56401781685,82467.23388503684,78444.72998517095,63282.97882470965,73636.06988550948,83535.19007583111,82570.91608197113,73178.23346074884,76057.31827910048,85531.79937898462,83991.18949333139,81269.47167092211,83606.1424652375,74887.19515808129,81055.24575520231,76990.75934573606,85863.60309470772,86023.45277790622,85799.30243996045,78217.24149278118,82633.11006922284,89194.34086292078,84834.52149258611,77202.41739396326,87493.71020063142,91268.08603038,90491.7817261706,94752.03513369366,85496.04756373007,83567.96710280547,88075.41352685526,95287.20528931994,85880.08068479515,88718.75034057157,93094.53961451472,88716.91966010955,90666.90355266612,97500.85272872784,93860.5575962634,92895.72383560878,93290.89947928702,91252.7688665301,97432.2387062624,103101.08927589572,104562.50871006348,96354.06871964729,100156.76874920618,104471.09562909452,93726.4642453826,96233.416098637,98255.27404762933,100650.1605885905,104044.11890468062,98798.97237189418,103599.96050306944,105745.3030069663,104135.2820387738,103670.0961190426,101940.1731034316,100472.33290108552,101222.40069258522,103448.68547499146,105671.49970327076,108782.9996947699,109578.18468992002,110256.0425649072,106019.93165619476,108133.70331287212,111813.25464760343,109723.17767630104,102120.40535771904,107994.35448091984,111383.72270929364,108809.11160052392
SSP119,San_Diego_Crossing,Honduras,1996.359443775131,2516.677255920325,1822.6356671029232,1941.369379042296,1880.432050078561,1919.0432757175868,2103.2513855983884,1913.1551767856752,1586.6892835303415,2288.380383255764,1925.4951780457247,2028.4045710896323,1376.0278440731656,1805.315640780935,2106.4746725816663,2067.849194913755,1423.223900190957,2138.1384612279167,1848.3694995570283,1955.7938644741528,1825.3420413782264,1923.6999336502631,2111.3198426650374,1978.6689798703385,1893.1988425728257,2172.2944195885675,2268.869701606452,1929.6113880436585,1393.7545419430437,1665.5735623475746,1808.0437526301412,1950.725810524881,2230.4496845974104,2802.324384298141,1963.7817781984816,2004.833134267376,2456.3305013547424,2282.168198133438,1980.7684351321816,2104.9376471907717,2129.1564867614434,2592.430770773773,2365.2431182711857,2402.641584475013,2111.542970893242,2193.9669575738626,2306.5565087601917,1959.9339692294263,2110.842335100293,2599.935244678913,2071.917500228729,2002.0598142145045,2797.68132393022,2405.5072477820886,2149.6955502968444,2659.5076511901148,2323.9387563910377,2197.337079212889,2338.5433696021432,2403.002443926368,2122.007723711368,2492.8054478997105,2799.275781564252,2479.2170571322376,2624.7191460028102,3082.65290503242,2719.241683681816,2377.2729258391428,2570.3137234136693,2506.300661183552,2800.6507062758046,2127.2552509757547,2535.224782430998,2493.267869206144,2627.080710508504,2574.5084993357714,2528.3726801052844,2442.508030702342
SSP245,San_Diego_Crossing,Honduras,3537.3194467237054,3454.780309371308,2549.6443193020777,1980.7924737876592,1837.670410136511,1904.603677840303,1830.7904763745605,2756.240768038483,1691.2954950165697,746.8832045168725,269.5482074664206,1127.684136576171,1308.8216860492173,1738.6004635891734,1838.6539319001035,2007.5176374886355,2228.1040883217747,2279.7909405752685,1220.1962963717588,709.7794544763136,1939.6977860006468,1916.7826808935224,1482.8472287034951,2038.2794830112368,2182.307832614683,2265.599832870816,2334.9878693515075,1553.99030344557,2244.1279943859377,2368.326414963449,3813.612350898988,2848.5646603684368,3549.9981232587807,3512.0859151552595,2749.710071767866,1093.7983935873222,1676.674195705608,3491.671322900226,2443.487517933112,1801.1652100411866,3517.8756967542813,3011.735522337343,3032.60351971204,2088.1528734502,2804.161525953411,3458.91602632043,3045.5967962801865,1899.5674420961495,4057.637683744196,3552.0536678782764,1832.1837563307288,2440.73874120117,2625.88446781776,2726.35984951222,4185.357970412503,1724.6081573855374,3022.51207730148,3145.3680462041098,2587.313347731864,4230.994463332056,3500.35801311479,2063.3810252243925,3195.4346296507424,2884.045837495233,328.4614025792636,2752.432965256835,2655.8939747236464,1212.2622621021096,3006.2787874066216,3285.1084630480327,2343.8988786869527,3648.6109463825856,3437.6758952694604,2183.1956236370343,3468.7489881441807,2648.954568834504,2325.4645337241004,1946.6846674901376
SSP370,San_Diego_Crossing,Honduras,1230.2831810079538,2680.275241188014,2623.770902154491,1848.541717998272,1640.065322286731,2143.663189610196,2446.742638388396,2397.1583695734557,2813.644198581997,2608.6134011155928,3132.259260463144,2179.2449065186893,2062.798707511082,2986.413076001647,3597.093977055293,2597.525548497063,2274.892055619093,2585.295806812238,2957.152476427747,2444.539475838107,1889.366599717737,2661.730754738069,3145.011141906547,2237.405538019525,3027.488537646837,3301.713507266033,2659.1879784281477,3299.945679805974,3044.097120511833,2115.7313059690546,3495.935564820914,2773.8340407573296,1804.842890480669,2940.8042815479903,4208.939976247934,3616.808727889214,3108.7000289161247,3045.2852442401136,3346.6803922001604,2921.0735595883048,3530.00278779107,3782.023860338945,3717.608119748144,2934.9680119920517,2227.967447835227,3580.4818012366377,3455.58522440995,2278.0680082697195,2830.722339993934,3574.232015855262,3963.8941512626834,4054.963437627761,3582.6774109127773,3330.14933037443,3908.9536353725007,4004.806336061131,3942.892985257307,4030.372304735687,4447.551103223696,3844.698077085413,3543.6621329842283,3540.901426913972,4317.182784408523,3600.297780593162,3841.6259490897855,4495.858057012841,4229.6919521355,4810.084312190685,3865.221974206096,3813.039069843145,4011.653369591385,4392.0662873631145,3858.6930761177127,4121.580295086709,4271.946594826909,4451.138499997804,4639.9261075441245,4608.840274000568
SSP585,San_Diego_Crossing,Honduras,1416.8733805068098,1390.3859258904297,2178.0077708824138,1899.702166672835,1870.9420893679664,2442.7610765250133,2094.110096300966,787.3079089498202,1675.1851556785057,2524.0137371452256,2438.418833113814,1627.847661697166,1872.842320783712,2685.1452333629745,2549.976339499605,2313.213507655036,2511.55199332747,1758.932700467298,2286.830365242144,1934.568226085115,2695.1208237154724,2706.218311273558,2684.285731791316,2029.456622836264,2406.63895838422,2968.356330286072,2590.6908917551705,1931.5572813520089,2814.1189021313467,3136.122729183349,3066.6961874145427,3430.493160517579,2631.6799225867194,2463.182439211222,2848.241916111649,3465.9178068389747,2654.1043967493847,2895.622713503112,3269.3575959897125,2890.161026071228,3055.2383305316166,3640.413790862114,3324.638801563929,3238.995748746745,3270.334985843833,3092.371451185351,3621.251351189965,4106.209928812376,4229.262973050026,3520.5553728149,3844.9955284270254,4213.443674235745,3286.5835554199566,3499.5689017245595,3670.828510278213,3874.17446967104,4163.456381911663,3709.638823802061,4119.947523961892,4301.8287546570855,4160.689411357855,4118.023964721721,3966.571151509897,3837.6615997970257,3899.527167074245,4088.370712192229,4276.915734838416,4541.901769777941,4607.648129188471,4663.302503100965,4296.277946225913,4475.443585403504,4789.291008145551,4606.859266167328,3950.248652138676,4452.848944868341,4741.736037065626,4517.626706122222
SSP119,Tucson_Crossing,Honduras,3516.3851197050058,4165.66496054765,3300.145395475698,3448.486753086502,3372.705346213956,3421.1014202851743,3651.115945679481,3414.220955539295,3007.2175800111454,3882.743578340212,3430.310528475889,3558.9125331053165,2745.365973597897,3281.0944117868376,3656.9942384396113,3609.044772474324,2805.167397414383,3697.188422934717,3335.961026181008,3470.19503456966,3307.700819009316,3430.6252535060585,3664.895678181207,3499.6583669387783,3393.27458365282,3741.65232073784,3862.353116209905,3439.392396697272,2771.193455241533,3110.4943707340103,3288.444757816876,3466.659429865784,3815.820908574258,4529.413128913466,3483.6421037221216,3535.0820115402444,4098.514804790764,3881.495866752318,3505.7601366900453,3660.8817706711816,3691.32469360053,4269.448085653434,3986.284999905474,4033.1682703779406,3670.282257630414,3773.330640025413,3914.0077336208215,3481.860833219352,3670.3370525706746,4280.666757382667,3622.2463596707016,3535.3376444000646,4528.033015435287,4039.0648473335073,3720.195951345,4356.370903181542,3938.012387388022,3780.320867589997,3956.694658151264,4037.333498080329,3687.0511442308816,4149.818705241208,4532.343882594566,4133.332848970692,4315.0652450504485,4886.5268333040085,4433.437627661911,4007.0958832388046,4248.128357734902,4168.510262217316,4535.916516857791,3696.15106606348,4205.286968703183,4153.18184947865,4320.333006052313,4254.986298701317,4197.668386353363,4090.792486234072
SSP245,Tucson_Crossing,Honduras,4111.326976963202,4079.055099611898,3704.947364837847,3470.5848509601656,3413.1373161916085,3442.9797389068203,3414.3339850518337,3800.939142791105,3360.4215462702928,2969.9922710117394,2773.660221583299,3132.292426636726,3209.593234891598,3390.2186390359134,3433.8243920327345,3506.0247188862004,3599.7187931452777,3623.2254616196806,3184.9313562097936,2974.851915504126,3487.980890007057,3480.4861949635297,3302.189128990379,3535.030711481601,3596.910532999404,3633.55094108243,3664.4134600779225,3341.892312977792,3630.711678849461,3684.351035103114,4286.977519196362,3887.973059581692,4181.486462243093,4167.759616487218,3852.976856013285,3166.879049516905,3411.1249896415848,4167.387536947849,3733.835285340835,3468.941608574416,4184.360457158471,3976.058215441104,3986.7578938966594,3596.3126796337237,3895.882903959297,4169.99853829097,4000.268687171744,3526.0560353928845,4424.885007370668,4216.813881216802,3504.137784917774,3759.054888474463,3838.021322686981,3881.802404731976,4490.127082890859,3469.5731779993903,4010.954037764803,4064.035528865174,3834.1598447202928,4519.230828965976,4217.637594615993,3622.519625117213,4094.980229946112,3967.608282965138,2907.645189745601,3916.971309583562,3878.8816956337782,3280.998308875173,4028.542220785908,4146.439673195104,3757.341304802229,4301.551337844983,4215.923643333652,3696.643456672045,4232.891957027292,3894.248506997399,3761.847804134725,3606.471026459147
