CSV,Type_of_Variable,Country,Country_Code,Variable,Unit_of_Measure,New_Data_Type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
TRAC,TRAC,Mexico,MEX,MEX_Rio_Grande,Person,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27992,90597,78281,66178,58652,53760,49755,47106,43577,40574,37307,33934,30402,28114,25153,10837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAC,TRAC,Mexico,MEX,MEX_Tucson,Person,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50084,294358,238808,173228,108440,102567,99862,61154,48575,44506,23426,29263,30867,57478,135042,87759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAC,TRAC,Mexico,MEX,MEX_San_Diego,Person,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26395,158512,107218,63967,36978,26245,26797,27791,23520,26184,18766,27038,34462,59848,124296,55641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP SCENARIO,SSP SCENARIO,Mexico,MEX,MEX_SSP119_avg_temp,Degrees Celsius,Float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.57077,19.63604,18.9351,19.13829,19.47296,19.97707,19.48043,19.59498,19.40919,19.59086,19.72265,19.69885,19.89257,19.73975,20.13309,19.88796,19.67481,19.34542,19.20883,19.75536,19.55015,19.47733,20.0494,19.6161,19.8066,19.95544,19.9819,19.49684,19.35408,20.29844,19.91722,19.54372,19.96526,19.94844,19.95431,19.98578,19.81366,19.56275,19.76646,19.79856,19.96197,19.93256,19.81594,19.82647,19.26441,19.43295,19.8191,19.50079,19.65545,19.63478,19.94009,19.37284,19.71682,19.20749,19.62355,19.40683,19.80547,19.52006,19.28103,19.85067,19.31475,19.83112,18.83339,19.89971,19.63399,19.08387,19.33808,19.57081,19.68801,19.62778,19.5072,19.33954,19.82755,19.1521,19.53882,19.59431,19.46267,19.52808,19.3731,19.65426,19.69802,19.40793,19.38264,19.3931,19.35252,19.14087
SSP SCENARIO,SSP SCENARIO,Mexico,MEX,MEX_SSP245_avg_temp,Degrees Celsius,Float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.58965,19.63061,19.31868,19.96737,19.87383,19.79885,19.81698,19.62259,19.85688,19.85041,19.58707,19.77795,19.8425,19.83027,20.16035,19.92117,20.3464,19.98598,19.76559,19.80899,19.47395,19.93846,19.05724,19.9848,20.33131,20.34912,19.53534,20.07491,19.61612,20.22401,19.79819,19.789,20.14028,20.47592,19.68886,20.20539,20.84375,20.18904,20.41034,20.86726,20.60901,20.35199,20.52378,20.68462,20.31815,20.33447,20.73714,19.94403,20.4676,20.50308,20.66653,20.57022,20.94135,20.41011,20.84891,21.19452,21.02806,20.69522,20.68793,20.63344,20.60479,20.27367,20.45653,20.54338,21.02062,20.79186,20.90841,20.83899,21.1481,20.85843,20.68688,21.30844,21.18969,21.05441,20.74504,20.23888,21.41405,20.85696,20.72184,20.98724,21.4469,20.80985,20.75479,21.15939,20.71396,20.85514
SSP SCENARIO,SSP SCENARIO,Mexico,MEX,MEX_SSP370_avg_temp,Degrees Celsius,Float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37469,18.84149,19.49654,19.61143,19.25965,19.05993,19.74853,19.37493,19.43836,19.41022,19.32388,19.61125,19.98435,20.34552,20.08757,20.12502,20.33612,19.76587,19.84966,19.481,20.21222,20.08657,20.36518,20.13725,19.68914,19.67859,20.30872,19.92711,19.70719,19.90034,20.13788,20.39113,20.47351,20.52116,20.09118,20.93224,20.77015,20.50837,20.73382,20.52568,21.0615,20.80062,21.39581,21.12222,21.11981,20.94886,21.15614,20.79266,20.68879,20.77134,20.82598,21.23326,21.02758,21.47935,21.17683,21.11143,21.24227,21.3617,21.90432,21.81048,22.10819,22.03443,21.5301,21.2391,21.99346,21.55369,21.64445,21.40912,21.72274,22.13008,22.6603,21.41312,22.07178,21.87265,21.74146,21.9834,22.46926,22.59994,21.86928,22.33781,22.65059,22.28816,22.17725,22.00862,22.29219,22.18859
SSP SCENARIO,SSP SCENARIO,Mexico,MEX,MEX_SSP585_avg_temp,Degrees Celsius,Float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88927,19.54041,19.46042,19.23672,19.43021,19.95317,19.36625,19.60075,20.1624,20.30038,19.31391,19.24878,20.04064,19.71289,19.42323,19.58637,19.43444,19.60453,19.86712,20.05966,20.43049,19.55149,19.53729,20.0894,20.07362,20.1531,20.1996,20.20923,20.06278,20.27133,20.23299,20.5614,20.54435,20.42448,20.925,20.77514,20.51155,20.68445,20.76397,21.15658,20.96273,21.27295,20.9694,21.05491,20.54339,20.93869,21.08218,21.10828,21.24702,21.2563,21.87008,21.53949,21.41892,21.34543,21.27223,21.67676,21.56796,21.5596,21.43906,21.4854,21.5638,22.10435,21.88839,22.0839,22.13678,21.93342,21.88526,22.23759,22.54765,22.20912,22.71335,22.41291,22.93813,22.03715,22.86705,22.79187,22.66361,22.51452,22.60865,22.74244,22.86737,23.17567,23.40004,22.83418,22.5743,23.55295
POPULATION VARIABLE,POPULATION VARIABLE,Mexico,MEX,"Population, total",Person,Integer,4128880,4251911,4378604,4508444,4640795,4774984,4910790,5047435,5184095,5320100,5455197,5589563,5723759,5858466,5994300,6131151,6269983,6412667,6561919,6720582,6890346,7071186,7262658,7462585,7669863,7884034,8104921,8332446,8566331,8805995,9050115,9296814,9544055,9790619,10037522,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Mexico,MEX,Rural population (% of total population),Share of Population,Integer,2843931.255,2901163.914,2958885.439,3016780.218,3077682.428,3152014.688,3226487.246,3300618.695,3373860.867,3445722.368,3516147.226,3585089.813,3653074.707,3720477.418,3787858.113,3854961.191,3922313.265,3991115.687,4063074.626,4139744.1,4222128.415,4310100.003,4403349.545,4500311.884,4600307.129,4703062.802,4808325.432,4915976.491,5025695.071,5137329.423,5249790.709,5362123.411,5473038.34,5581925.61,5689267.47,5796192.44,5901846.584,6006636.311,6113085.843,6221658.454,6335890.543,6450058.696,6559052.344,6664799.598,6770216.535,6873859.774,6975316.907,7074355.764,7170952.327,7265538.602,7357570.701,7449391.98,7538790.42,7625643.529,7709179.117,7788224.052,7863354.669,7934314.558,8001178.147,8063081.066,8119647.506,8170759.202,8216181.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Mexico,MEX,Population ages 15-64 (% of total population),Share of Population,Integer,2111023.427,2171070.957,2235516.222,2304496.21,2376074.231,2448028.465,2520524.138,2593985.532,2667937.622,2741028.702,2812687.024,2881897.603,2949109.806,3015339.05,3084436.1,3156435.756,3228543.374,3301361.705,3375974.913,3454711.455,3538166.191,3626504.164,3714946.05,3805672.246,3906220.8,4014530.133,4127898.557,4244956.21,4365593.214,4490584.372,4620845.101,4754358.598,4889759.411,5027246.633,5166541.426,5309086.936,5454851.405,5604382.985,5761425.39,5924679.353,6092975.875,6263977.185,6440592.643,6623616.129,6816308.293,7016090.422,7221386.692,7432233.946,7648146.984,7869137.219,8095003.409,8325804.833,8556652.266,8789379.587,9021176.052,9250085.671,9480125.07,9710164.927,9937399.491,10163684.73,10396683,10637104.12,10882128.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
