Year,Mexico,El Salvador,Guatemala,Honduras,Nicaragua,
2015,19.58965,25.08205,21.88718,23.0478,25.13653,
2016,19.63061,26.2487,22.7999,24.30495,26.3188,
2017,19.31868,26.27909,22.81791,24.2118,26.28504,
2018,19.96737,26.78401,23.70852,24.96712,26.85513,
2019,19.87383,26.07612,23.44341,24.46373,26.52521,
2020,19.79885,25.3418,22.45839,23.88575,25.49376,
2021,19.81698,25.78528,22.28141,23.58422,25.62068,
2022,19.62259,25.99188,22.75794,24.16284,26.04488,
2023,19.85688,26.57629,23.46574,24.96506,26.82,
2024,19.85041,26.99173,23.62322,24.93302,26.81991,
2025,19.58707,26.63315,23.48623,24.47205,26.53212,
2026,19.77795,26.50139,23.25469,24.18643,26.41173,
2027,19.8425,26.40509,23.10244,24.1228,26.28081,
2028,19.83027,26.11587,22.98088,24.1687,26.22538,
2029,20.16035,26.30049,22.89802,24.14121,26.29051,
2030,19.92117,26.32145,23.2372,24.63477,26.70869,
2031,20.3464,26.34629,23.03392,24.09047,26.19755,
2032,19.98598,25.75109,22.73087,23.60902,25.78395,
2033,19.76559,25.59095,22.21304,23.37112,25.74219,
2034,19.80899,25.97145,22.69255,23.82958,25.99731,
2035,19.47395,26.01103,22.55293,23.93503,26.34571,
2036,19.93846,26.29047,22.73357,24.17013,26.54627,
2037,19.05724,26.48033,22.81602,24.2333,26.46956,
2038,19.9848,26.34246,23.22885,24.33235,26.29272,
2039,20.33131,26.20367,23.25176,24.45837,26.38159,
2040,20.34912,26.59527,23.03308,24.49632,26.66808,
2041,19.53534,26.09177,22.7273,23.95481,26.4497,
2042,20.07491,25.96181,22.33394,23.69966,25.77606,
2043,19.61612,26.51295,23.2387,24.35198,26.49936,
2044,20.22401,26.43534,23.49882,24.35103,26.57642,
2045,19.79819,26.22425,23.22448,24.13576,26.56413,
2046,19.789,26.66563,23.1546,24.43638,26.67685,
2047,20.14028,26.444,23.44549,24.52248,26.72135,
2048,20.47592,26.73231,23.03986,24.57691,26.89968,
2049,19.68886,26.77657,23.44276,24.62409,26.87772,
2050,20.20539,26.09336,23.08573,24.22785,26.46014,
2051,20.84375,26.57971,23.03471,24.59871,26.84343,
2052,20.18904,27.05775,23.51015,24.67447,26.81179,
2053,20.41034,27.5234,24.21504,25.43909,27.3048,
2054,20.86726,26.46933,23.56004,24.94688,26.97576,
2055,20.60901,27.33345,23.82663,25.32363,27.48368,
2056,20.35199,27.4163,24.18099,25.31486,27.46326,
2057,20.52378,26.49721,23.58683,24.92833,27.28048,
2058,20.68462,26.09827,22.86451,24.07588,26.1877,
2059,20.31815,26.55556,22.86858,24.39081,26.58797,
2060,20.33447,27.17773,23.90875,25.34821,27.52324,
2061,20.73714,26.78177,23.65503,24.81265,27.16327,
2062,19.94403,26.34892,23.10951,24.48872,26.621,
2063,20.4676,27.2603,23.91434,25.39487,27.44768,
2064,20.50308,27.08244,23.88658,25.14195,27.65033,
2065,20.66653,26.83015,23.83347,25.16383,26.97157,
2066,20.57022,26.68736,23.59319,24.68236,26.78749,
2067,20.94135,27.22178,23.69981,25.06671,27.15325,
2068,20.41011,27.58971,24.30015,25.41912,27.50036,
2069,20.84891,27.16551,24.39564,25.2146,27.23593,
2070,21.19452,26.4203,23.52432,24.62802,26.51429,
2071,21.02806,27.54671,24.42573,25.76431,27.43888,
2072,20.69522,27.352,24.1802,25.51168,27.54748,
2073,20.68793,26.80311,23.63936,24.62588,26.95522,
2074,20.63344,27.02889,23.65373,24.9542,27.14997,
2075,20.60479,27.11506,23.63991,25.06174,27.33143,
2076,20.27367,27.22375,23.43559,25.12513,27.65076,
2077,20.45653,27.60325,24.43676,25.8969,27.95938,
2078,20.54338,26.70575,23.02052,24.62478,27.05205,
2079,21.02062,27.67815,23.87859,25.31255,27.44036,
2080,20.79186,27.07221,24.11603,25.38761,27.27348,
2081,20.90841,26.96237,23.80385,25.10762,26.94421,
2082,20.83899,28.05824,24.5581,25.97569,28.132,
2083,21.1481,27.05053,24.64043,25.60571,27.64492,
2084,20.85843,26.99371,23.59855,24.86742,26.99489,
2085,20.68688,27.84052,24.17726,25.46871,27.84682,
2086,21.30844,27.04657,24.41268,25.31734,27.70525,
2087,21.18969,25.98354,23.00776,23.99577,26.21105,
2088,21.05441,27.48719,23.71455,25.27071,27.56774,
2089,20.74504,27.24695,23.89789,25.23137,27.55709,
2090,20.23888,26.5051,23.32213,24.48961,26.90833,
2091,21.41405,27.36231,24.01811,25.43607,27.34653,
2092,20.85696,27.56926,24.47442,25.59246,27.76027,
2093,20.72184,27.12708,23.95794,25.11268,27.28104,
2094,20.98724,27.66715,24.29353,25.804,27.78922,
2095,21.4469,27.22266,24.38541,25.70501,27.70362,
2096,20.80985,26.96672,23.73652,25.06188,27.00611,
2097,20.75479,27.78527,24.2484,25.74321,27.79348,
2098,21.15939,27.04086,24.09348,25.32674,27.53937,
2099,20.71396,27.33027,23.61466,25.16906,27.27645,
2100,20.85514,27.23313,23.87444,24.98255,27.47745,
